log_id,vehicle_plate,vehicle_make,vehicle_model,vehicle_year,vehicle_type,vehicle_status,event_type,event_date,liters,fuel_cost,odometer_reading,station_name,service_type,maintenance_cost,mechanic_name,next_service_due
1,kda496f,Toyota,Axio,2018,Saloon,Active,Fuel,25/03/2025,42,7644,47131,  Ola Energy Langata  ,,,,
2, KDA496F ,TOYOTA,Axio,2018,Saloon,Active,Fuel,06/03/2025,43,7826,47359,Total Energies Yaya,,,,
3,KDA496F,Toyota,AXIO,2018,Saloon,Active,Fuel,05-28-2025,34,6188,47811,  Total Energies Yaya  ,,,,
4,kda496f,Toyota,axio,2018,Saloon,Active,Fuel,2025-01-18,27,"KES 4,914",48066,Ola Energy Langata,,,,
5,KDA496F,Toyota,Axio,2018,Saloon,Active,Fuel,2025-01-07,23,4186,48468,Total Energies Westlands,,,,
6, KDA496F ,Toyota,axio,2018,Saloon,Active,Fuel,2025-05-08,15,2730,48971,ola energy langata,,,,
7, KDA496F ,Toyota,axio,2018,Saloon,Active,Fuel,2025-06-09,24,4368,49340,OLA ENERGY LANGATA,,,,
8,KDA496F,TOYOTA,Axio,2018,Saloon,Active,Fuel,14/04/2025,28,5096,49856,  Total Energies Westlands  ,,,,
9,KDB833G,Toyota,FIELDER,2015,Hatchback,Active,FUEL,2025-04-17,35,6370,59803,Total Energies Westlands,,,,
10,KDB833G,toyota,FIELDER,2015,Hatchback,Active,fuel,13/05/25,19,"KES 3,458",60212,Ola Energy Langata,,,,
11,KDB833G,Toyota,Fielder,2015,Hatchback,Active,Fuel,2025-03-12,36,"KES 6,552",60624,  Total Energies Yaya  ,,,,
12,kdb833g,Toyota,FIELDER,2015,Hatchback,Active,FUEL,2025-01-04,29,5278,61184,  Ola Energy Langata  ,,,,
13, KDB833G ,Toyota,FIELDER,2015,Hatchback,Active,fuel,15/05/2025,35,"KES 6,370",61746,total energies westlands,,,,
14,kdc598h,Nissan,Note,2019,SUV,Active,Fuel,17/06/2025,16,2912,30875,Shell Waiyaki Way,,,,
15, KDC598H ,Nissan,note,2019,SUV,Active,fuel,2025-06-07,20,3640,31367,total energies westlands,,,,
16,kdc598h,Nissan,Note,2019,SUV,Active,fuel,01-04-2025,23,4186,31722,Rubis Ngong Rd,,,,
17, KDC598H ,Nissan,Note,2019,SUV,Active,Fuel,2025-04-22,25,4550,32066,Ola Energy Langata,,,,
18,kdc598h,Nissan,NOTE,2019,SUV,Active,FUEL,24/04/2025,15,2730,32277,SHELL WAIYAKI WAY,,,,
19,KDC598H,nissan,note,2019,SUV,Active,Fuel,04/05/25,34,6188,32707,Rubis Ngong Rd,,,,
20,KDC598H,NISSAN,NOTE,2019,SUV,Active,Fuel,2025-01-17,35,6370,33015,Total Energies Yaya,,,,
21, KDC598H ,Nissan,Note,2019,SUV,Active,Fuel,14/04/25,33,6006,33352,Ola Energy Langata,,,,
22,KDD693I,Toyota,Premio,2020,Saloon,Active,Fuel,2025-05-25,39,7098,51745,SHELL WAIYAKI WAY,,,,
23,KDD693I,Toyota,Premio,2020,Saloon,Active,Fuel,2025-01-22,30,5460,52285,Shell Waiyaki Way,,,,
24,KDD693I,Toyota,Premio,2020,Saloon,Active,fuel,06-18-2025,44,8008,52637,TOTAL ENERGIES YAYA,,,,
25,kdd693i,Toyota,PREMIO,2020,Saloon,Active,FUEL,2025-01-11,25,4550,52998,Ola Energy Langata,,,,
26,KDA950K,Honda,FIT,2020,Hatchback,Active,Fuel,10/03/2025,25,4550,31328,Rubis Ngong Rd,,,,
27,KDA950K,Honda,FIT,2020,Hatchback,Active,Fuel,25/03/2025,16,2912,31664,Total Energies Yaya,,,,
28,KDA950K,Honda,Fit,2020,Hatchback,Active,Fuel,14/03/2025,29,5278,32042,Rubis Ngong Rd,,,,
